CustomerID,Coverage,Education,EmploymentStatus,Gender,Income,Location.Geo,Location.Code,Marital.Status,Monthly.Premium.Auto,Months.Since.Last.Claim,Months.Since.Policy.Inception,Number.of.Open.Complaints,Number.of.Policies,Policy.Type,Policy,Renew.Offer.Type,Sales.Channel,Total.Claim.Amount,Vehicle.Class,Vehicle.Size,Customer.Lifetime.Value
5917,Basic,Bachelor,Unemployed,F,0,"17.7,77.7",Urban,Married,67,2,33,NA,2,Personal Auto,Personal L2,Offer2,Branch,267.214383,Four-Door Car,2,low
2057,Basic,College,Employed,M,63357,"28.8,76.6",Suburban,Married,101,26,42,0,5,Personal Auto,Personal L2,Offer2,Agent,565.508572,SUV,2,low
4119,Basic,High School or Below,Employed,F,64125,"21.6,88.4",Urban,Married,108,3,44,0,3,Personal Auto,Personal L1,Offer2,Branch,369.818708,SUV,1,low
1801,Basic,College,Employed,M,67544,"19,72.5",Suburban,Married,116,2,15,NA,3,Corporate Auto,Corporate L3,Offer1,Branch,556.8,SUV,3,high
9618,Basic,Bachelor,Retired,F,19651,"19.1,74.7",Suburban,Married,72,3,68,0,5,Personal Auto,Personal L1,Offer2,Web,345.6,Two-Door Car,3,low
2747,Extended,Bachelor,Employed,M,23589,"19,71.4",Suburban,Married,211,30,13,NA,6,Special Auto,Special L2,Offer2,Agent,1012.8,Luxury SUV,3,high
3633,Extended,College,Employed,F,74126,"28.6,76.3",Suburban,Married,90,14,76,0,1,Corporate Auto,Corporate L3,Offer2,Call Center,478.751065,Two-Door Car,2,low
3856,Extended,Doctor,Employed,F,31409,"17.3,79.1",Urban,Married,93,10,50,0,2,Personal Auto,Personal L3,Offer1,Branch,381.960657,Four-Door Car,2,high
9005,Basic,High School or Below,Employed,F,58577,"17.6,78.5",Urban,Married,110,6,62,0,1,Personal Auto,Personal L3,Offer1,Agent,303.872752,SUV,2,low
5725,Basic,High School or Below,Retired,M,19683,"13.2,80.3",Suburban,Married,117,17,41,1,9,Corporate Auto,Corporate L1,Offer1,Web,561.6,Sports Car,2,low
10477,Basic,High School or Below,Employed,M,30598,"28.6,77.1",Suburban,Married,106,13,21,NA,1,Personal Auto,Personal L2,Offer3,Agent,508.8,SUV,2,low
2270,Basic,Doctor,Unemployed,F,0,"28.6,76.3",Suburban,Divorced,112,3,51,2,1,Personal Auto,Personal L2,Offer1,Agent,537.6,SUV,2,low
10792,Basic,College,Employed,M,51159,"12.9,82.6",Rural,Married,72,4,61,0,1,Personal Auto,Personal L2,Offer2,Branch,4.238626,Four-Door Car,2,low
5845,Basic,High School or Below,Employed,F,44509,"17.7,77.3",Urban,Married,61,8,68,0,1,Personal Auto,Personal L2,Offer3,Call Center,226.731454,Four-Door Car,2,low
2962,Basic,High School or Below,Employed,F,73274,"19.1,72.1",Urban,Married,105,6,90,NA,2,Corporate Auto,Corporate L3,Offer3,Branch,284.211516,SUV,2,high
901,Basic,Bachelor,Employed,F,74905,"18.4,75",Rural,Single,72,16,35,0,3,Personal Auto,Personal L3,Offer1,Call Center,167.028453,Four-Door Car,2,low
7176,NA,College,Unemployed,M,0,"12.8,81.9",Suburban,Divorced,NA,16,52,NA,3,Personal Auto,Personal L3,Offer1,Agent,445.702958,Four-Door Car,2,low
1341,Basic,College,Unemployed,M,0,"19,71.8",Suburban,Single,104,29,4,0,3,Personal Auto,Personal L3,Offer3,Call Center,748.8,SUV,3,low
4915,Premium,College,Employed,M,88895,"19.2,71.5",Suburban,Single,108,24,86,0,8,NA,Corporate L3,Offer1,Call Center,532.8,Four-Door Car,2,low
10009,Extended,High School or Below,Employed,F,40672,"19,71.9",Suburban,Divorced,121,28,99,0,3,Corporate Auto,Corporate L3,Offer1,Call Center,580.8,SUV,2,high
